date,meantemp,humidity,wind_speed,meanpressure,,,,,,
25/02/2013,16.88,72.88,4.64,1018.25,,,,,,
26/02/2013,17.86,70,17.59,1015.14,,,,,,
27/02/2013,20.8,57.2,6.66,1015.2,,,,,,
28/02/2013,19.43,52.86,12.96,1017.43,,,,,,
01/03/2013,17.33,49.33,24.07,1016.33,,,,,,
02/03/2013,19,54,15.72,1016.25,,,,,,
03/03/2013,19.33,62.83,8.63,1016.17,,,,,,
04/03/2013,17.6,71,5.56,1015.8,,,,,,
05/03/2013,20.88,61.88,4.16,1016.38,,,,,,
06/03/2013,20.86,65.29,6.87,1015.71,,,,,,
07/03/2013,23.43,57.14,8.73,1015.29,,,,,,
08/03/2013,24.17,44.83,7.1,1014.83,,,,,,
09/03/2013,25.43,49.71,5.29,1009.29,,,,,,
10/03/2013,23.14,57.57,4.23,1008,,,,,,
11/03/2013,24,66.33,0.93,1011.17,,,,,,
12/03/2013,23.5,62.5,4.93,1011.5,,,,,,
13/03/2013,21.5,70.5,5.55,1009,,,,,,
14/03/2013,22.33,61.17,12.03,1013.17,,,,,,
15/03/2013,24.17,45.83,7.72,1016.17,,,,,,
16/03/2013,20.33,67.67,3.7,1016.17,,,,,,
17/03/2013,22.67,58.67,8.95,1015,,,,,,
18/03/2013,23.43,58.14,17.46,1009.43,,,,,,
19/03/2013,22.5,73.67,10.48,1011,,,,,,
20/03/2013,29.17,36.33,6.8,1009.5,,,,,,
21/03/2013,23.83,58.5,10.5,1008.33,,,,,,
22/03/2013,25.25,50.25,9.71,1006.38,,,,,,
23/03/2013,27.38,50.12,9.95,1007.62,,,,,,
24/03/2013,27,48.75,10.89,1010.25,,,,,,
25/03/2013,23.5,45.5,15.96,1010.62,,,,,,
26/03/2013,24.14,44.57,12.96,1008.86,,,,,,
27/03/2013,21,62,1.85,1009,,,,,,
28/03/2013,22.43,62.71,7.41,1009.57,,,,,,
29/03/2013,21.25,70.38,5.55,1009.75,,,,,,
30/03/2013,23.5,54.75,11.11,1008.62,,,,,,
31/03/2013,23.2,58,6.66,1008.6,,,,,,
01/04/2013,25.38,45.5,4.4,1008.5,,,,,,
02/04/2013,25.17,51,8.65,1009.5,,,,,,
03/04/2013,26.2,45.6,8.14,1009,,,,,,
04/04/2013,24.6,41.8,11.12,1007.8,,,,,,
05/04/2013,25.6,31,15.56,1007,,,,,,
06/04/2013,25.86,29.86,11.9,1006.14,,,,,,
07/04/2013,29.14,23.29,10.31,1005,,,,,,
08/04/2013,28.71,33.86,5.3,1006,,,,,,
09/04/2013,30.17,30.5,8.65,1005.33,,,,,,
10/04/2013,30,28,6.1,1006.71,,,,,,
11/04/2013,30,24.2,7.78,1006.4,,,,,,
12/04/2013,28.86,32.57,6.34,1007.57,,,,,,
13/04/2013,30.2,29.2,10,1008.4,,,,,,
14/04/2013,28.25,39.38,6.49,1007,,,,,,
15/04/2013,28.25,41.38,6.25,1003.88,,,,,,
16/04/2013,32.12,24.62,10.42,1000,,,,,,
17/04/2013,29.2,24.2,6.66,1002.2,,,,,,
18/04/2013,30.29,30.29,4.76,1002.86,,,,,,
19/04/2013,28.29,31.29,3.97,1002.57,,,,,,
20/04/2013,30.62,29,7.64,1003.38,,,,,,
21/04/2013,27.67,38.67,13.88,1006.83,,,,,,
22/04/2013,27.38,45.38,7.65,1010,,,,,,
23/04/2013,28.62,44.12,4.63,1009.88,,,,,,
24/04/2013,30.29,41.71,2.11,1008.57,,,,,,
25/04/2013,31.14,38.29,3.7,1007.71,,,,,,
26/04/2013,29.88,45.88,6.71,1008.38,,,,,,
27/04/2013,31.14,31.43,13.49,1007,,,,,,
28/04/2013,30.57,28,12.97,1005.43,,,,,,
29/04/2013,32.12,26.38,7.88,1004.88,,,,,,
30/04/2013,31.14,32,7.93,1004.86,,,,,,
01/05/2013,31.86,15.86,12.69,1002.83,,,,,,
02/05/2013,29.83,22.17,11.43,1001.2,,,,,,
03/05/2013,28.57,31.57,9,999.43,,,,,,
04/05/2013,32.86,31.43,2.91,999,,,,,,
05/05/2013,32.62,31.12,3.01,1000.62,,,,,,
06/05/2013,32.75,39.25,3.7,1001.62,,,,,,
07/05/2013,32.88,33.25,7.18,1002,,,,,,
08/05/2013,34.5,23,9.25,1001.17,,,,,,
09/05/2013,34.29,26,8.99,1000.86,,,,,,
10/05/2013,34,27.71,9.53,1000.14,,,,,,
11/05/2013,30.75,30.38,14.81,999.88,,,,,,
12/05/2013,29.86,40.14,5.83,1003.71,,,,,,
13/05/2013,31.71,34,3.97,1003.57,,,,,,
14/05/2013,32.29,34.29,4.77,1001.57,,,,,,
15/05/2013,33,33,3.24,999.86,,,,,,
16/05/2013,33,34.75,7.18,998.5,,,,,,
17/05/2013,32.83,28.17,9.87,1000.33,,,,,,
18/05/2013,31.4,42.2,12.97,999,,,,,,
19/05/2013,35.33,22.33,15.75,999.67,,,,,,
20/05/2013,36.4,24.2,7.4,998.4,,,,,,
21/05/2013,36,19,11.37,998.67,,,,,,
22/05/2013,36.75,22.12,17.59,998.62,,,,,,
23/05/2013,37.5,23.33,13.57,997.17,,,,,,
24/05/2013,38.43,27.43,11.39,996.43,,,,,,
25/05/2013,38.71,22.43,10.31,998.14,,,,,,
26/05/2013,37.8,21.2,10.74,998.2,,,,,,
27/05/2013,35.86,31.57,8.73,999.14,,,,,,
28/05/2013,35.33,29,8.33,1000.17,,,,,,
29/05/2013,34.14,27.86,5.56,999.43,,,,,,
30/05/2013,32.2,28.2,5.56,999.6,,,,,,
31/05/2013,33.62,40.12,10.64,998.71,,,,,,
01/06/2013,32,54,13.44,998.75,,,,,,
02/06/2013,32.4,56.6,14.2,1001,,,,,,
03/06/2013,35.6,47,12.24,999.6,,,,,,
04/06/2013,35.86,42.57,5.03,999.86,,,,,,
05/06/2013,37.17,36.5,9.87,998,,,,,,
06/06/2013,31.29,61.71,10.04,997.29,,,,,,
07/06/2013,34,49.25,7.41,998,,,,,,
08/06/2013,34.2,57.4,13.34,997,,,,,,
09/06/2013,36.17,40,11.42,995.17,,,,,,
10/06/2013,36.62,42.75,8.1,995.12,,,,,,
11/06/2013,30.17,61.67,16.35,1000,,,,,,
12/06/2013,34.14,54.14,7.41,998,,,,,,
13/06/2013,29.83,68.67,9.87,998.67,,,,,,
14/06/2013,30.14,68.14,7.94,997.43,,,,,,
15/06/2013,30.71,65,13.23,997.86,,,,,,
16/06/2013,27,88.86,8.49,996.43,,,,,,
17/06/2013,26.88,87.38,8.34,994.75,,,,,,
18/06/2013,28.4,83.6,5.18,996.4,,,,,,
19/06/2013,29.86,72.86,4.23,999,,,,,,
20/06/2013,33,52.71,4.77,997.17,,,,,,
21/06/2013,34.83,47.33,5.87,995.33,,,,,,
22/06/2013,35.6,39.4,10.74,996.2,,,,,,
23/06/2013,35.17,53,8.35,995.67,,,,,,
24/06/2013,33.14,55,13.23,996.29,,,,,,
25/06/2013,30.57,70.43,11.11,999.17,,,,,,
26/06/2013,30.67,71.5,6.48,999,,,,,,
27/06/2013,31.43,61.86,7.96,996.71,,,,,,
28/06/2013,31.5,64.25,8.81,996,,,,,,
29/06/2013,33.25,57,13.88,995.25,,,,,,
30/06/2013,32.83,52.17,10.5,997.17,,,,,,
01/07/2013,33.86,54,8.73,996.43,,,,,,
02/07/2013,33.14,58.29,9.8,996,,,,,,
03/07/2013,31.57,70,6.36,997.57,,,,,,
04/07/2013,32.38,67.5,9.25,997,,,,,,
05/07/2013,32.8,62.2,12.96,997.8,,,,,,
06/07/2013,31,73.14,11.37,1000.57,,,,,,
07/07/2013,31.17,77.33,7.1,1000.17,,,,,,
08/07/2013,29.83,75.17,6.48,997.5,,,,,,
09/07/2013,29,78.83,8.02,996.83,,,,,,
10/07/2013,29.75,75.38,6.49,995.75,,,,,,
11/07/2013,32.5,65.5,7.12,997.33,,,,,,
12/07/2013,28.88,86.62,5.56,1000,,,,,,
13/07/2013,31.75,70.25,12.06,998.88,,,,,,
14/07/2013,30.75,71.62,4.81,997.38,,,,,,
15/07/2013,31.75,73.25,13.54,998.38,,,,,,
16/07/2013,29.88,83.88,9,999,,,,,,
17/07/2013,31.12,78.38,8.65,998,,,,,,
18/07/2013,31.75,76,5.55,995,,,,,,
19/07/2013,30.5,73.5,9.27,995.33,,,,,,
20/07/2013,26.83,90.67,4.93,999.17,,,,,,
21/07/2013,28.2,88,2.24,996.4,,,,,,
22/07/2013,29.5,80.33,4.33,996.83,,,,,,
23/07/2013,31.86,70.71,3.97,998,,,,,,
24/07/2013,29.71,84.14,3.97,997.14,,,,,,
25/07/2013,28.33,84.5,8.02,995.17,,,,,,
26/07/2013,30,73.86,5.57,995.43,,,,,,
27/07/2013,30.14,79,4.23,997.29,,,,,,
28/07/2013,32.29,67.43,6.09,998.14,,,,,,
29/07/2013,31,77.43,4.77,997.14,,,,,,
30/07/2013,30.5,75.67,8.02,996.5,,,,,,
31/07/2013,28.83,78.5,9.87,996.67,,,,,,
01/08/2013,30,73.5,5.55,998,,,,,,
02/08/2013,31.57,66.43,11.11,999.43,,,,,,
03/08/2013,32.5,62.33,10.82,1000.83,,,,,,
04/08/2013,32.5,62.5,5.1,993.25,,,,,,
05/08/2013,29.5,77,6.78,1001,,,,,,
06/08/2013,27.17,90.67,4.02,1002.17,,,,,,
07/08/2013,28.38,85.25,3.25,1001.88,,,,,,
08/08/2013,28.5,84,6.17,1000.5,,,,,,
09/08/2013,27.17,87.5,3.72,1001,,,,,,
10/08/2013,29.43,79.86,6.1,1000.33,,,,,,
11/08/2013,30,76.83,6.8,1001.17,,,,,,
12/08/2013,29.5,81.5,8.35,1001,,,,,,
13/08/2013,30.75,72,11.12,999.25,,,,,,
14/08/2013,29.67,74.33,9.87,999.83,,,,,,
15/08/2013,27.71,85,8.2,1001.71,,,,,,
16/08/2013,26.6,92,4.46,1000.8,,,,,,
17/08/2013,27.43,91,14.29,999.43,,,,,,
18/08/2013,28.33,83.83,1.23,1000.17,,,,,,
19/08/2013,28.17,84.67,5.55,1000.5,,,,,,
20/08/2013,27.38,88.5,5.32,999,,,,,,
21/08/2013,28.33,81.17,10.31,999.29,,,,,,
22/08/2013,29.17,74.83,6.48,1001.17,,,,,,
23/08/2013,31.29,73.14,2.64,1001.43,,,,,,
24/08/2013,32,71.25,18.52,1000.33,,,,,,
25/08/2013,29,90.75,0.92,998.75,,,,,,
26/08/2013,32,69.88,6.48,997.86,,,,,,
27/08/2013,32.14,57.29,17.07,999.86,,,,,,
28/08/2013,30.14,60.71,11.64,1003.71,,,,,,
29/08/2013,31.5,57,9.28,1003.25,,,,,,
30/08/2013,29.17,73,3.1,1003.5,,,,,,
31/08/2013,29,71.75,4.65,1003.25,,,,,,
01/09/2013,30,65.2,11.48,1003.2,,,,,,
02/09/2013,31.86,50.86,15.34,1003.71,,,,,,
03/09/2013,32.75,45.5,14.8,1001.5,,,,,,
04/09/2013,31.71,48,14.54,1002.17,,,,,,
05/09/2013,31.67,46,13.57,1001.5,,,,,,
06/09/2013,30.57,55.71,10.04,1003.43,,,,,,
07/09/2013,30.83,51.83,6.78,1004.17,,,,,,
08/09/2013,28,71.75,2.32,1007.25,,,,,,
09/09/2013,31,57.5,42.22,1007,,,,,,
10/09/2013,29.67,66.33,3.7,1005.33,,,,,,
11/09/2013,30.86,61.14,3.97,1005.57,,,,,,
12/09/2013,31.17,60.33,2.78,1008.17,,,,,,
13/09/2013,31.14,67.14,3.17,1007.14,,,,,,
14/09/2013,30.5,67,2.78,1003.83,,,,,,
15/09/2013,31.62,56.38,3.94,1001.38,,,,,,
16/09/2013,29.67,60,7.1,1002.33,,,,,,
17/09/2013,29.25,56.5,3.48,1002.88,,,,,,
18/09/2013,29.14,58.57,5.56,1003.14,,,,,,
19/09/2013,29.8,61.6,2.96,1001.8,,,,,,
20/09/2013,28.67,70,9.58,1003,,,,,,
21/09/2013,25.2,89,5.18,1003,,,,,,
22/09/2013,28.33,79.67,3.08,1001.67,,,,,,
23/09/2013,30.29,68,4.5,1001,,,,,,
24/09/2013,30.75,65.75,5.79,1002.75,,,,,,
25/09/2013,28.57,75,6.61,1005.43,,,,,,
26/09/2013,28.2,78.8,4.08,1006.6,,,,,,
27/09/2013,29,71.25,7.41,1005.62,,,,,,
28/09/2013,30,67.33,1.23,1005.33,,,,,,
29/09/2013,28.14,79.86,5.56,1003.86,,,,,,
30/09/2013,26.86,84.57,4.23,1004.71,,,,,,
01/10/2013,28.29,68.71,6.37,1007.71,,,,,,
02/10/2013,29.2,61.4,7.42,1010,,,,,,
03/10/2013,28.6,59,7.4,1008.6,,,,,,
04/10/2013,24.83,84.33,6.78,1007.5,,,,,,
05/10/2013,28.5,69,2.09,1004.12,,,,,,
06/10/2013,29.75,66.5,1.85,1005.25,,,,,,
07/10/2013,29.71,66.57,1.59,1008.86,,,,,,
08/10/2013,29.2,69.4,0,1009.8,,,,,,
09/10/2013,30.83,65.5,5.57,1010.33,,,,,,
10/10/2013,29.43,66.29,3.97,1010.86,,,,,,
11/10/2013,23.86,89.86,4.24,1010.57,,,,,,
12/10/2013,26.14,82.57,2.91,1008.29,,,,,,
13/10/2013,27.17,84.33,0.62,1007.67,,,,,,
14/10/2013,27.71,74.86,5.56,1007,,,,,,
15/10/2013,25.86,76.43,3.7,1009.14,,,,,,
16/10/2013,26.43,75,0,1009,,,,,,
17/10/2013,26.86,76.71,1.06,1010.43,,,,,,
18/10/2013,26.33,73.17,0,1010.5,,,,,,
19/10/2013,24.57,69.57,2.11,1011.57,,,,,,
20/10/2013,24.33,67.83,1.55,1010.67,,,,,,
21/10/2013,24.88,63.62,1.39,1009.88,,,,,,
22/10/2013,27.8,53.6,0,1011,,,,,,
23/10/2013,25,67.5,1.16,1013.62,,,,,,
24/10/2013,23.86,73.14,1.06,1013.29,,,,,,
25/10/2013,22.8,75.8,1.86,1011,,,,,,
26/10/2013,23,78.2,0.74,1011.2,,,,,,
27/10/2013,22.88,66.88,2.55,1010.62,,,,,,
28/10/2013,22.67,63.17,4.93,1010,,,,,,
29/10/2013,23,62.71,3.97,1011.14,,,,,,
30/10/2013,22.86,67.43,2.39,1012.86,,,,,,
31/10/2013,23.67,58.83,3.08,1012.83,,,,,,
01/11/2013,23.43,69.14,1.06,1013.29,,,,,,
02/11/2013,21.62,65,4.64,1014.5,,,,,,
03/11/2013,20.62,57.88,5.56,1016,,,,,,
04/11/2013,21.17,54.17,2.47,1017.5,,,,,,
05/11/2013,18.83,74.33,0,1017.5,,,,,,
06/11/2013,20.57,66.71,3.19,1015.86,,,,,,
07/11/2013,20.14,73.14,4.5,1015.67,,,,,,
08/11/2013,18,82.2,19.91,1015.62,,,,,,
09/11/2013,19.86,73.57,0.53,1016.71,,,,,,
10/11/2013,16.83,72,2.47,1016,,,,,,
11/11/2013,18.86,61.86,5.81,1013.43,,,,,,
12/11/2013,16.57,71.71,0.8,1013.86,,,,,,
13/11/2013,17.75,65,3.01,1014.25,,,,,,
14/11/2013,17.62,63.38,3.48,1015.25,,,,,,
15/11/2013,17,67,0.92,1016.5,,,,,,
16/11/2013,16.62,69.62,0,1018,,,,,,
17/11/2013,15.57,67.43,2.39,1017.71,,,,,,
18/11/2013,18.5,55.12,7.41,1016.88,,,,,,
19/11/2013,17.88,63.5,7.18,1015.5,,,,,,
20/11/2013,18.25,58.88,2.55,1012.75,,,,,,
21/11/2013,17.88,66.25,2.09,1013.12,,,,,,
22/11/2013,17.62,74.88,1.16,1015.75,,,,,,
23/11/2013,18.14,77.86,0.8,1014.57,,,,,,
24/11/2013,19.12,58.88,5.09,1014.5,,,,,,
25/11/2013,21.25,49.88,9.5,1012.88,,,,,,
26/11/2013,21.25,51.38,9.75,1011.75,,,,,,
27/11/2013,19.12,68.5,2.79,1014.75,,,,,,
28/11/2013,18.62,71.88,1.85,1017.75,,,,,,
29/11/2013,17.75,66.62,4.86,1016.88,,,,,,
30/11/2013,17.88,69.62,11.81,1015.88,,,,,,
01/12/2013,18,65,1.59,1016.14,,,,,,
02/12/2013,17.25,73.25,1.85,1015.88,,,,,,
03/12/2013,17.5,73.5,1.39,1016.75,,,,,,
04/12/2013,17.14,71.86,4.23,1017,,,,,,
05/12/2013,17.14,69,6.89,1015.29,,,,,,
06/12/2013,16.12,72.38,3.71,1014,,,,,,
07/12/2013,16,80.5,1.16,1014.25,,,,,,
08/12/2013,16.5,83.62,0,1014,,,,,,
09/12/2013,16.12,79.25,2.31,1013.5,,,,,,
10/12/2013,15.5,81.75,2.55,1013.75,,,,,,
11/12/2013,16.62,71.88,6.48,1014.12,,,,,,
12/12/2013,17.75,62.38,16.9,1012.5,,,,,,
13/12/2013,17.14,67.71,11.63,1012,,,,,,
14/12/2013,16.14,79,0.8,1012.57,,,,,,
15/12/2013,15.5,86.25,2.55,1015.12,,,,,,
16/12/2013,15.25,89.5,1.16,1015.62,,,,,,
17/12/2013,14.75,92.88,0.92,1014.25,,,,,,
18/12/2013,14.88,93,2.09,1012.62,,,,,,
19/12/2013,16.12,89.12,3.25,1012.88,,,,,,
20/12/2013,15.38,91.38,4.41,1016,,,,,,
21/12/2013,14.75,94,0.46,1017,,,,,,
22/12/2013,15.25,94,1.39,1018.38,,,,,,
23/12/2013,14.25,88.25,9.02,1020.5,,,,,,
24/12/2013,13.5,84.75,5.79,1021.38,,,,,,
25/12/2013,13.67,63.17,34.49,1020.62,,,,,,
26/12/2013,12.12,67.62,4.4,1019.25,,,,,,
27/12/2013,11.88,79.88,1.16,1018.62,,,,,,
28/12/2013,10.88,70,5.32,1019.25,,,,,,
29/12/2013,10.57,69.43,5.32,1018.5,,,,,,
30/12/2013,12.38,79.5,6.48,1018.12,,,,,,
31/12/2013,14.5,89.38,4.86,1020.5,,,,,,
01/01/2014,13.38,89.62,7.65,1021,,,,,,
02/01/2014,11,78.38,8.1,1020.25,,,,,,
03/01/2014,12.5,74.88,5.32,1017.75,,,,,,
04/01/2014,12.88,88.12,1.16,1016.25,,,,,,
05/01/2014,12.38,89,0.46,1014.5,,,,,,
06/01/2014,11.43,86.29,27.34,1017.62,,,,,,
07/01/2014,12.14,72.29,20.6,1017.75,,,,,,
08/01/2014,11.88,76.88,1.85,1017.88,,,,,,
09/01/2014,12.83,83,1.23,1017,,,,,,
10/01/2014,12.38,85.38,0,1016.62,,,,,,
11/01/2014,12.12,82.62,6.73,1019.62,,,,,,
12/01/2014,12.88,80.88,3.25,1020.75,,,,,,
13/01/2014,14,72.38,1.16,1019.38,,,,,,
14/01/2014,14.88,76.75,2.79,1017,,,,,,
15/01/2014,12,93.5,0.46,1019.75,,,,,,
16/01/2014,12.29,90.57,1.59,1019.57,,,,,,
17/01/2014,12,95.75,1.16,1017.62,,,,,,
18/01/2014,12.5,94.25,1.85,1020.25,,,,,,
19/01/2014,14.5,84.5,3.47,1023,,,,,,
20/01/2014,14.62,83.5,4.41,1021.38,,,,,,
21/01/2014,13.57,96.86,7.17,1020.57,,,,,,
22/01/2014,15.25,96.12,6.71,1019.88,,,,,,
23/01/2014,15.62,90.12,6.71,1020.25,,,,,,
24/01/2014,13.88,88.88,8.11,1019.25,,,,,,
25/01/2014,11.75,95.62,8.34,1019.75,,,,,,
26/01/2014,14.38,85.75,8.81,1019.12,,,,,,
27/01/2014,16.62,72.38,9.95,1018.75,,,,,,
28/01/2014,16.62,69.88,7.41,1016.75,,,,,,
29/01/2014,14.88,81.88,4.63,1018.62,,,,,,
30/01/2014,14.5,83.25,0.92,1019.38,,,,,,
31/01/2014,14.75,82.5,3.01,1019.25,,,,,,
01/02/2014,14,79.38,2.55,1019.75,,,,,,
02/02/2014,15.25,76.12,1.85,1016.88,,,,,,
03/02/2014,18.43,63.86,12.29,1014.12,,,,,,
04/02/2014,18.86,65.43,13.42,1011,,,,,,
05/02/2014,17,72.75,1.62,1011.5,,,,,,
06/02/2014,18.5,65.38,6.01,1010.88,,,,,,
07/02/2014,19.62,67.25,15.05,1009.25,,,,,,
08/02/2014,13.62,85.38,8.11,1011.38,,,,,,
09/02/2014,12.88,63.38,9.26,1012,,,,,,
10/02/2014,12.62,61.75,3.7,1012.5,,,,,,
11/02/2014,13.38,64.62,3.7,1013.5,,,,,,
12/02/2014,13.25,67,9.26,1013.5,,,,,,
13/02/2014,15.25,64.5,4.88,1013.62,,,,,,
14/02/2014,13,95.5,5.34,1011.88,,,,,,
15/02/2014,12.38,89.5,3.94,1012.88,,,,,,
16/02/2014,13.5,79,8.79,1016,,,,,,
17/02/2014,15.12,66.12,12.72,1017.75,,,,,,
18/02/2014,15.25,60.12,8.8,1017.38,,,,,,
19/02/2014,15.12,75.38,1.85,1016.62,,,,,,
20/02/2014,16.12,78.62,1.86,1014.75,,,,,,
21/02/2014,17.12,72.25,8.79,1014.25,,,,,,
22/02/2014,16.62,85.62,6.25,1017.38,,,,,,
23/02/2014,16.5,80,7.89,1019.38,,,,,,
24/02/2014,16.38,69.38,5.34,1018.62,,,,,,
25/02/2014,18.12,69,0.92,1017.25,,,,,,
26/02/2014,18.75,71.12,2.09,1014.25,,,,,,
27/02/2014,18.62,76.62,7.18,1013.12,,,,,,
28/02/2014,15.62,88.38,5.8,1013.12,,,,,,
01/03/2014,16.14,87.29,4.24,1015.29,,,,,,
02/03/2014,16.12,79,5.79,1017.12,,,,,,
03/03/2014,17.88,65.62,3.7,1016.25,,,,,,
04/03/2014,18.75,66.38,3.71,1016.5,,,,,,
05/03/2014,18.88,67,5.33,1016.12,,,,,,
06/03/2014,18.38,64,4.64,1016.38,,,,,,
07/03/2014,18.5,62.88,6.71,1017.12,,,,,,
08/03/2014,19.88,63.88,9.96,1017,,,,,,
09/03/2014,22,56.62,7.65,1014.5,,,,,,
10/03/2014,20,63.88,10.89,1014.38,,,,,,
11/03/2014,20.71,70,15.6,1013.71,,,,,,
12/03/2014,20,68.88,6.49,1016.25,,,,,,
13/03/2014,19,60.62,9.95,1016.25,,,,,,
14/03/2014,19.62,61.25,5.8,1015,,,,,,
15/03/2014,21.62,62.62,2.79,1016.38,,,,,,
16/03/2014,23.12,58.5,6.25,1015.38,,,,,,
17/03/2014,26.25,52.12,6.71,1011.25,,,,,,
18/03/2014,24.86,53.43,9.8,1012.86,,,,,,
19/03/2014,21.75,57.38,10.19,1013.25,,,,,,
20/03/2014,21.5,55,7.4,1010.75,,,,,,
21/03/2014,22.5,64.75,5.34,1007.12,,,,,,
22/03/2014,25,59.5,3.01,1007,,,,,,
23/03/2014,22.75,61.88,9.02,1010.62,,,,,,
24/03/2014,22.38,73.12,9.49,1011.62,,,,,,
25/03/2014,24.62,60.25,2.78,1010.5,,,,,,
26/03/2014,25.12,58.88,2.78,1010.62,,,,,,
27/03/2014,23.5,63.25,4.89,1011.75,,,,,,
28/03/2014,24.43,67.57,4.5,1011.14,,,,,,
29/03/2014,25.88,55.62,8.35,1011.25,,,,,,
30/03/2014,24.12,46.75,13.9,1009.88,,,,,,
31/03/2014,24.12,44.12,13.2,1008.25,,,,,,
01/04/2014,24.88,45.75,9.71,1006.12,,,,,,
02/04/2014,26.75,43.38,7.18,1005.75,,,,,,
03/04/2014,25,48,10.42,1010.38,,,,,,
04/04/2014,25.86,47.86,11.91,1009.86,,,,,,
05/04/2014,27.38,44,9.26,1008.88,,,,,,
06/04/2014,30.12,45.25,6.71,1007.5,,,,,,
07/04/2014,27.25,47.62,12.96,1009.62,,,,,,
08/04/2014,25.75,41.88,12.72,1010.38,,,,,,
09/04/2014,25.75,35.25,12.74,1010.25,,,,,,
10/04/2014,26.38,29.25,12.5,1010.88,,,,,,
11/04/2014,28.14,29,10.06,1008.57,,,,,,
12/04/2014,29.12,39.88,5.1,1007.12,,,,,,
13/04/2014,26.88,40.38,15.51,1009.62,,,,,,
14/04/2014,27.62,46.62,5.35,1010.62,,,,,,
15/04/2014,29,48.12,2.55,1009.12,,,,,,
16/04/2014,27.12,53.62,4.4,1008.25,,,,,,
17/04/2014,26.38,49.62,9.25,1007,,,,,,
18/04/2014,24.25,64.38,14.34,1011.62,,,,,,
19/04/2014,25.62,57.88,5.1,1011.38,,,,,,
20/04/2014,27,48,4.64,1010.5,,,,,,
21/04/2014,28,33.12,8.81,1010,,,,,,
22/04/2014,29.38,29.38,12.5,1011.75,,,,,,
23/04/2014,29.12,37,6.02,1009,,,,,,
24/04/2014,29.38,35.88,7.88,1005.88,,,,,,
25/04/2014,30.62,34.38,8.11,1006.12,,,,,,
26/04/2014,31.5,32,8.11,1006.38,,,,,,
27/04/2014,30.62,30,8.35,1007.12,,,,,,
